event_name_raw,event_location_raw,event_city,event_state,event_zip,event_country,event_location_confidence,event_date_raw,event_start_date,event_end_date_full,sponsoring_affiliate,chief_td,num_sections,num_players,event_id,event_lat,event_lon,event_geo_source
CAJUN CLASSICS VI SUMMER SCHOL,"NEW ORLEANS, LA  70127  USA",,,,US,unparsed,2001-08-04,2001-08-04,2001-08-04,CRESPO,RICHARD L CRESPO,1,11,200108047570,,,unresolved
LA HIGH SCHOOL CHAMP.,"LAKE CHARLES, LA  70607  USA",,,,US,unparsed,2001-03-03,2001-03-03,2001-03-03,CALCASIEU SCHOL CHESS LEAGUE,JERRY NASH,1,65,200103033510,,,unresolved
2025 WORLD AMATEUR TEAM TOURNAMENT,"PARSIPPANY, NJ  07054",PARSIPPANY,NJ,07054,US,city+state+zip,2025-02-15 thru 2025-02-17,2025-02-15,2025-02-17,NEW JERSEY ST CHESS FED,STEPHEN D LORIMOR,1,1504,202502173432,40.8579,-74.426,city_centroid
LAST GAME OF THE YEAR,"GREAT NECK, NY  11021",GREAT NECK,NY,11021,US,city+state+zip,2024-12-31,2024-12-31,2024-12-31,MAKE YOUR MOVE CHESS ACADEMY,TAK WONG,1,4,202412314602,42.165726,-74.948051,state_centroid
MARSHALL FIDE BLITZ,"NEW YORK, NY  10011",NEW YORK,NY,10011,US,city+state+zip,2024-12-27,2024-12-27,2024-12-27,MARSHALL CHESS CLUB,GREGORY KEENER,1,47,202412272312,40.7128,-74.006,city_centroid
IONA PREP CHESS TOURNAMENT,"NEW ROCHELLE, NY  10804",NEW ROCHELLE,NY,10804,US,city+state+zip,2024-03-02,2024-03-02,2024-03-02,STARRY KNIGHTS,JABARI MCGREEN,4,39,202403029852,42.165726,-74.948051,state_centroid
WORLD TEAM 2024,"PARSIPPANY, NJ  07054",PARSIPPANY,NJ,07054,US,city+state+zip,2024-02-17 thru 2024-02-19,2024-02-17,2024-02-19,NEW JERSEY ST CHESS FED,NOREEN HARKINS DAVISSON,3,1397,202402192782,40.8579,-74.426,city_centroid
MYM SUNDAY ACTION G25,"GREAT NECK, NY  11021",GREAT NECK,NY,11021,US,city+state+zip,2023-10-01,2023-10-01,2023-10-01,MAKE YOUR MOVE CHESS ACADEMY,FLORA YAM,2,22,202310011672,42.165726,-74.948051,state_centroid
MYM SUNDAY G25 ACTION - SEPT 24,"GREAT NECK, NY  11021",GREAT NECK,NY,11021,US,city+state+zip,2023-09-24,2023-09-24,2023-09-24,MAKE YOUR MOVE CHESS ACADEMY,FLORA YAM,2,24,202309246802,42.165726,-74.948051,state_centroid
MYMCHESS SUNDAY G25 ACTION,"GREAT NECK, NY  11021",GREAT NECK,NY,11021,US,city+state+zip,2023-09-17,2023-09-17,2023-09-17,MAKE YOUR MOVE CHESS ACADEMY,FLORA YAM,2,27,202309172672,42.165726,-74.948051,state_centroid
GREAT NECK CHESS,"GREAT NECK, NY  11021",GREAT NECK,NY,11021,US,city+state+zip,2023-09-10,2023-09-10,2023-09-10,KINGS OF QUEENS CHESS,TYRELL ONEIL HARRIOTT,2,13,202309109292,42.165726,-74.948051,state_centroid
KQC5-7-23,"QUEENS, NY  11101",QUEENS,NY,11101,US,city+state+zip,2023-05-07,2023-05-07,2023-05-07,KINGS OF QUEENS CHESS,TYRELL ONEIL HARRIOTT,1,7,202305078822,40.7282,-73.7949,city_centroid
KQC4-30-23,"QUEENS, NY  11101",QUEENS,NY,11101,US,city+state+zip,2023-04-30,2023-04-30,2023-04-30,KINGS OF QUEENS CHESS,TYRELL ONEIL HARRIOTT,1,8,202304304492,40.7282,-73.7949,city_centroid
BLITZ4-30-23,"QUEENS, NY  11101",QUEENS,NY,11101,US,city+state+zip,2023-04-30,2023-04-30,2023-04-30,KINGS OF QUEENS CHESS,TYRELL ONEIL HARRIOTT,1,8,202304304442,40.7282,-73.7949,city_centroid
WORLD AMATEUR TEAM 2023,"PARSIPPANY, NJ  07054",PARSIPPANY,NJ,07054,US,city+state+zip,2023-02-18 thru 2023-02-20,2023-02-18,2023-02-20,NEW JERSEY ST CHESS FED,HAROLD G STENZEL,2,1378,202302204792,40.8579,-74.426,city_centroid
CCFC SATURDAY G/45 QUADS!,"NORWALK, CT  06850",NORWALK,CT,06850,US,city+state+zip,2022-12-10,2022-12-10,2022-12-10,FAIRFIELD COUNTY CHESS,MELVIN B PATRICK,1,5,202212107322,41.597782,-72.755371,state_centroid
KQC10-30-22,"QUEENS, NY  11101",QUEENS,NY,11101,US,city+state+zip,2022-10-30,2022-10-30,2022-10-30,KINGS OF QUEENS CHESS,TYRELL ONEIL HARRIOTT,1,17,202210303792,40.7282,-73.7949,city_centroid
CCFC SATURDAY G/45 QUADS!,"NORWALK, CT  06850",NORWALK,CT,06850,US,city+state+zip,2022-10-29,2022-10-29,2022-10-29,FAIRFIELD COUNTY CHESS,MELVIN B PATRICK,3,14,202210295172,41.597782,-72.755371,state_centroid
KQC10-23-22,"QUEENS, NY  11101",QUEENS,NY,11101,US,city+state+zip,2022-10-23,2022-10-23,2022-10-23,KINGS OF QUEENS CHESS,TYRELL ONEIL HARRIOTT,1,16,202210239962,40.7282,-73.7949,city_centroid
KQC7-24-22,"QUEENS, NY  11101",QUEENS,NY,11101,US,city+state+zip,2022-07-24,2022-07-24,2022-07-24,KINGS OF QUEENS CHESS,TYRELL ONEIL HARRIOTT,1,15,202207243792,40.7282,-73.7949,city_centroid
KQC7-17-22,"QUEENS, NY  11101",QUEENS,NY,11101,US,city+state+zip,2022-07-17,2022-07-17,2022-07-17,KINGS OF QUEENS CHESS,TYRELL ONEIL HARRIOTT,1,14,202207170392,40.7282,-73.7949,city_centroid
CCFC SATURDAY G/45 QUADS!,"NORWALK, CT  06850",NORWALK,CT,06850,US,city+state+zip,2022-07-16,2022-07-16,2022-07-16,FAIRFIELD COUNTY CHESS,MELVIN B PATRICK,1,6,202207167792,41.597782,-72.755371,state_centroid
MYMCHESS SUNDAY QUAD,"GREAT NECK, NY  11021",GREAT NECK,NY,11021,US,city+state+zip,2022-04-10,2022-04-10,2022-04-10,MAKE YOUR MOVE CHESS ACADEMY,TAK WONG,5,20,202204105832,42.165726,-74.948051,state_centroid
KQC4-3-22,"QUEENS, NY  11101",QUEENS,NY,11101,US,city+state+zip,2022-04-03,2022-04-03,2022-04-03,KINGS OF QUEENS CHESS,TYRELL ONEIL HARRIOTT,1,16,202204032562,40.7282,-73.7949,city_centroid
CCFC SATURDAY G/45 QUADS!,"NORWALK, CT  06850",NORWALK,CT,06850,US,city+state+zip,2022-03-19,2022-03-19,2022-03-19,FAIRFIELD COUNTY CHESS,MELVIN B PATRICK,3,14,202203194972,41.597782,-72.755371,state_centroid
MYM CHESS SUNDAY TOURNAMENT,"MANHASSET, NY  11030",MANHASSET,NY,11030,US,city+state+zip,2021-12-12,2021-12-12,2021-12-12,MAKE YOUR MOVE CHESS ACADEMY,TAK WONG,5,20,202112126632,42.165726,-74.948051,state_centroid
MYM SUNDAY QUAD,"GREAT NECK, NY  11021",GREAT NECK,NY,11021,US,city+state+zip,2021-10-17,2021-10-17,2021-10-17,MAKE YOUR MOVE CHESS ACADEMY,TAK WONG,4,18,202110172622,42.165726,-74.948051,state_centroid
KQC 7-11-21,"QUEENS, NY  11366",QUEENS,NY,11366,US,city+state+zip,2021-07-11,2021-07-11,2021-07-11,KINGS OF QUEENS CHESS,TYRELL ONEIL HARRIOTT,1,15,202107116882,40.7282,-73.7949,city_centroid
KQC 6-27-21,"QUEENS, NY  11366",QUEENS,NY,11366,US,city+state+zip,2021-06-27,2021-06-27,2021-06-27,KINGS OF QUEENS CHESS,TYRELL ONEIL HARRIOTT,1,19,202106272002,40.7282,-73.7949,city_centroid
