game_id,event_id,event_end_date,player_id,opponent_id,player_pre_rating,opponent_pre_rating,rating_diff,time_control,result_raw,target_multiclass,target_binary,player_games_last_30d,player_games_last_90d,player_games_last_365d,player_recent_avg_opponent_rating_90d,player_recent_win_rate_90d
202507186162_13377996_R2,202507186162,2025-07-18,13377996,20006337,2279,2210,69,Regular,W,2,1,5,18,21,2000.555555555556,0.6111111111111112
202508068082_16967853_R1,202508068082,2025-08-06,16967853,12663277,2302,2044,258,Quick,D,1,0,13,30,52,2125.0,0.5666666666666667
202510141042_30063365_R4,202510141042,2025-10-14,30063365,14020007,1972,2215,-243,Regular,D,1,0,0,0,19,,
202510279752_15078846_R2,202510279752,2025-10-27,15078846,12503918,2225,2103,122,Quick,W,2,1,22,61,135,2000.5245901639344,0.6229508196721312
202510246322_17344518_R1,202510246322,2025-10-24,17344518,16303021,2437,2414,23,Unknown,W,2,1,4,9,28,2086.1111111111118,0.6666666666666666
202507069512_12650696_R1,202507069512,2025-07-06,12650696,12687814,2363,2008,355,Regular,W,2,1,0,6,38,2191.6666666666665,0.5
202509300812_15078846_R3,202509300812,2025-09-30,15078846,12455097,2183,2156,27,Regular,W,2,1,15,70,116,1968.4,0.6714285714285714
202507209112_13377996_R2,202507209112,2025-07-20,13377996,17314200,2288,2134,154,Regular,D,1,0,8,21,24,2028.6666666666667,0.6190476190476191
202508174362_15933472_R5,202508174362,2025-08-17,15933472,16237733,2171,2077,94,Regular,L,0,0,0,0,0,,
202508290672_15216206_R2,202508290672,2025-08-29,15216206,16744105,2049,2221,-172,Regular,L,0,0,0,7,12,1929.7142857142856,0.4285714285714285
202507050582_15078846_R1,202507050582,2025-07-05,15078846,31087905,2248,1891,357,Regular,L,0,0,21,46,46,1966.0,0.7391304347826086
202507261022_14117181_R2,202507261022,2025-07-26,14117181,31389902,1698,1264,434,Quick,W,2,1,0,0,3,,
202508036732_17094702_R2,202508036732,2025-08-03,17094702,31419170,1747,1603,144,Regular,W,2,1,6,11,26,1583.6363636363635,0.4545454545454545
202507155012_14176605_R3,202507155012,2025-07-15,14176605,15706544,2066,2226,-160,Quick,L,0,0,0,0,3,,
202507070092_14800390_R3,202507070092,2025-07-07,14800390,32328499,1600,1209,391,Regular,W,2,1,0,5,26,1633.6,0.4
202507064822_13011217_R1,202507064822,2025-07-06,13011217,30091731,2093,1175,918,Quick,W,2,1,0,8,31,1480.625,0.75
202509267352_15481128_R2,202509267352,2025-09-26,15481128,10011191,1342,2000,-658,Regular,D,1,0,3,3,3,1619.3333333333333,0.6666666666666666
202510182982_31373726_R2,202510182982,2025-10-18,31373726,12569761,1698,2000,-302,Regular,D,1,0,3,18,62,1738.4444444444443,0.2777777777777778
202507101072_16489786_R1,202507101072,2025-07-10,16489786,31036115,1935,1490,445,Quick,W,2,1,14,37,66,1755.945945945946,0.5945945945945946
202508047772_15078846_R3,202508047772,2025-08-04,15078846,16366152,2238,2007,231,Quick,L,0,0,34,65,80,1937.4615384615383,0.7846153846153846
202509278282_14793323_R3,202509278282,2025-09-27,14793323,16392562,1964,1898,66,Regular,W,2,1,4,16,30,1916.25,0.4375
202507274172_31373726_R1,202507274172,2025-07-27,31373726,15804394,1582,2016,-434,Regular,L,0,0,11,27,44,1511.5555555555557,0.4074074074074074
202508247972_15078846_R2,202508247972,2025-08-24,15078846,17337973,2231,2039,192,Regular,L,0,0,25,70,89,1965.5857142857144,0.7571428571428571
202510130472_15078846_R3,202510130472,2025-10-13,15078846,16366152,2228,2112,116,Quick,W,2,1,22,73,129,1991.27397260274,0.6986301369863014
202508078372_14490864_R2,202508078372,2025-08-07,14490864,10047871,2033,2350,-317,Quick,L,0,0,4,17,52,1961.764705882353,0.5294117647058824
202510118492_12650696_R3,202510118492,2025-10-11,12650696,16309084,2365,2043,322,Regular,W,2,1,0,0,28,,
202507196932_15197996_R3,202507196932,2025-07-19,15197996,30246691,1800,1585,215,Regular,W,2,1,14,21,44,1800.5238095238096,0.3809523809523809
202508185142_14800390_R3,202508185142,2025-08-18,14800390,12656299,1600,1573,27,Regular,L,0,0,0,6,32,1515.5,0.3333333333333333
