model,fold,train_roc_auc,val_roc_auc
LogisticRegression,1,0.8061285324940788,0.7873029267857289
LogisticRegression,2,0.7996375489182229,0.8089516194496307
LogisticRegression,3,0.8042551945492428,0.7960748361134549
LogisticRegression,4,0.8024550098176064,0.7757449480534307
LogisticRegression,5,0.7980226160590602,0.7937093293088618
RandomForest,1,0.910570309204763,0.7745291745441858
RandomForest,2,0.8975267149258876,0.8078374868089943
RandomForest,3,0.8868539895264373,0.7893530538067113
RandomForest,4,0.8772446940829788,0.7745400649128243
RandomForest,5,0.8662308574900097,0.7881777096214075
GradientBoosting,1,0.8894179293338957,0.7677883171996334
GradientBoosting,2,0.8575648356550478,0.8061591849987824
GradientBoosting,3,0.8443115040261275,0.7919513046018044
GradientBoosting,4,0.8360989383604343,0.7778815259406652
GradientBoosting,5,0.8250065838697381,0.7919668792496307
